Title,Price,Price/m²,Location,Area,Bedrooms,Bathrooms,Image URL,Listing URL
Apartment for sale,"8,000,000
    EGP","-35,555EGP/m",Greater Cairo  /  Promenade Residence - Wadi Degla,225m²,3,3,https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2408/66af62a36f6ed064810092.jpg,https://aqarmap.com.eg/en/listing/4438359-for-sale-cairo-new-cairo-compounds-brwmynd-ryzydns-wdy-djl-llttwyr/
"Retail in "" Open Air Mall "" 16 million less than the company's price","30,000,000
    EGP","-361,445EGP/m",Greater Cairo  /  Open Air Mall,83m²,N/A,N/A,https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685fde14ed432439725289.jpg,https://aqarmap.com.eg/en/listing/5978013-for-sale-cairo-new-cairo-madinaty-open-air-mall/
Town House For sale in Solana East Compound - Ora,"45,078,000
    EGP","-181,036EGP/m",Greater Cairo  /  Solana East Compound - Ora,249m²,4,4,https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/68601088461c2804532080.jpeg,https://aqarmap.com.eg/en/listing/6046003-for-sale-cairo-new-cairo-compounds-solana-east-compound-ora/
Apartment with landscape view – Al Marassem,"12,317,364
    EGP","-73,317EGP/m",Greater Cairo  /  Fifth Square Compound - AlMarasem,168m²,3,3,https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685fb21bb3fb1076479803.jpg,https://aqarmap.com.eg/en/listing/6051602-for-sale-cairo-new-cairo-compounds-fifth-square/
شقق للبيع في اللوتس الجنوبيه,"4,300,000
    EGP","-28,666EGP/m",Greater Cairo  /  Lotus South,150m²,3,2,https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/6861015a82084148411961.jpeg,https://aqarmap.com.eg/en/listing/6056174-for-sale-cairo-new-cairo-el-lotus-lotus-south/
Apartments For sale in Sixth Neighborhood,"6,050,000
    EGP","-24,103EGP/m",Greater Cairo  /  Sixth Neighborhood,251m²,4,3,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2504/67f1108410702625424888.jpg,https://aqarmap.com.eg/en/listing/5778423-for-sale-cairo-new-cairo-bait-el-watan-sixth-neighborhood/
Shops For sale in Makan Mall - High Art,"7,560,000
    EGP","-120,000EGP/m",Greater Cairo  /  Makan Mall - High Art,63m²,N/A,N/A,https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2503/67c570e8be588829036701.jpg,https://aqarmap.com.eg/en/listing/5834526-for-sale-cairo-new-cairo-compounds-makan-mall-high-art/
"Luxury Garden Apartment 65 Sqm, For Sale In Garden Lakes, 6th October","6,456,000
    EGP","-99,323EGP/m",Greater Cairo  /  Waterside - Garden Lakes Compound ,65m²,1,1,https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2505/68177c11e664c519087585.jpg,https://aqarmap.com.eg/en/listing/5877675-for-sale-cairo-6th-of-october-compounds-garden-lakes-compound-hyde-park-waterside/
#1bd with garden 38meters -infront of madinaty -Suez road directly-Shorouk,"2,720,000
    EGP","-40,000EGP/m",Greater Cairo  /  Palm Island Compound - TG,68m²,1,1,https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2503/67e3cee7919b1907188140.jpg,https://aqarmap.com.eg/en/listing/6026474-for-sale-cairo-el-shorouk-compounds-palm-island-compound-tg/
apartment for sale 149m with garden 68m new cairo 5th settlement new narges,"4,024,000
    EGP","-27,006EGP/m",Greater Cairo  /  New Narges,149m²,3,2,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/684fe7405f3fb762432802.jpg,https://aqarmap.com.eg/en/listing/6014879-for-sale-cairo-new-cairo-new-narges/
Twin House Villa For sale in Palm Hills New Cairo,"18,500,000
    EGP","-48,177EGP/m",Greater Cairo  /  Palm Hills New Cairo - PHNC ,384m²,4,6,https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/6852868c3da66680768749.jpg,https://aqarmap.com.eg/en/listing/6020450-for-sale-cairo-new-cairo-compounds-blm-hylz-nyw-kyrw/
شقق للبيع في شارع صلاح الدين عبد الكريم,"4,800,000
    EGP","-40,000EGP/m",Greater Cairo  /  El Ashrafia Compound - Arabia,120m²,2,2,https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/686113a3c3c30411987699.png,https://aqarmap.com.eg/en/listing/6056115-for-sale-cairo-new-cairo-compounds-el-ashrafia/
Clinics Extra super lux For sale in Makan Mall - High Art,"7,475,000
    EGP","-115,000EGP/m",Greater Cairo  /  Makan Mall - High Art,65m²,1,1,https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2503/67c45152da7ff712644351.JPG,https://aqarmap.com.eg/en/listing/5865038-for-sale-cairo-new-cairo-compounds-makan-mall-high-art/
"3bd in compounds total 2,8 Mio","2,800,000
    EGP","-22,400EGP/m",Greater Cairo  /  Family Housing,125m²,3,2,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2505/6835a190834ce736358521.jpg,https://aqarmap.com.eg/en/listing/5963371-for-sale-cairo-al-oubour-l-bwr-ljdyd-lskn-l-yly/
Apartment for sale in Palm Hills New Cairo .,"7,745,000
    EGP","-42,322EGP/m",Greater Cairo  /  Palm Hills New Cairo - PHNC ,183m²,3,3,https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/683edbea399ff361410267.jpg,https://aqarmap.com.eg/en/listing/5986219-for-sale-cairo-new-cairo-compounds-blm-hylz-nyw-kyrw/
Pharmacy Semi Finished For sale in Makan Mall - High Art,"28,200,000
    EGP","-300,000EGP/m",Greater Cairo  /  Makan Mall - High Art,94m²,N/A,N/A,https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2503/67c56ef241088418724342.JPG,https://aqarmap.com.eg/en/listing/5931841-for-sale-cairo-new-cairo-compounds-makan-mall-high-art/
"Studio 80sqm with total 1,6 Mio only !!-Obour","1,600,000
    EGP","-20,000EGP/m",Greater Cairo  /  Lake House Compound - Brevan,80m²,1,1,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/683ccca2e903f099408228.jpg,https://aqarmap.com.eg/en/listing/5982160-for-sale-cairo-al-oubour-compounds-lake-house-compound-brevan/
Clinics Extra super lux For sale in Makan Mall - High Art,"6,600,000
    EGP","-120,000EGP/m",Greater Cairo  /  Makan Mall - High Art,55m²,1,1,https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2503/67c6e44d408b2068143526.JPG,https://aqarmap.com.eg/en/listing/5815230-for-sale-cairo-new-cairo-compounds-makan-mall-high-art/
Apartment with 207 sqm  1.5 Million EGP  -Obour,"5,150,000
    EGP","-24,879EGP/m",Greater Cairo  /  High City Compound - SUD,207m²,3,3,https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2505/683b735c4d376409683378.jpg,https://aqarmap.com.eg/en/listing/5978672-for-sale-cairo-al-oubour-compounds-hy-syty/
Shops For sale in Makan Mall - High Art,"27,840,000
    EGP","-120,000EGP/m",Greater Cairo  /  Makan Mall - High Art,232m²,N/A,N/A,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2503/67cef8697f584494710830.JPG,https://aqarmap.com.eg/en/listing/5782248-for-sale-cairo-new-cairo-compounds-makan-mall-high-art/
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Ground Floor Apartment with 179 sqm Garden – Double-Faced – Fifth District, Beit","4,325,600
    EGP","-22,647EGP/m",Greater Cairo  /  Fifth Neighborhood,191m²,3,3,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2505/6836b9945ee4a062713321.jpeg,https://aqarmap.com.eg/en/listing/5966128-for-sale-cairo-new-cairo-bait-el-watan-fifth-neighborhood/
office\clinic for sale 57m ready to move prime mall new cairo el andalus,"5,220,000
    EGP","-90,000EGP/m",Greater Cairo  /  Dar Misr El Andalous,58m²,1,1,https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/6848329e1bc40798042883.JPG,https://aqarmap.com.eg/en/listing/5999372-for-sale-cairo-new-cairo-dar-misr-dar-misr-el-andalous/
"-Apartment for sale in Al-Nozha Palace  14, eighth district, Al-Obour City","3,757,500
    EGP","-16,700EGP/m",Greater Cairo  /  Eighth Neighborhood,225m²,N/A,N/A,https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/6860215797d2e837890326.jpg,https://aqarmap.com.eg/en/listing/6053147-for-sale-cairo-al-oubour-el-hay-el-tamen/
شقق للبيع في المنطقة الأولى - اللوتس الشمالية,"7,350,000
    EGP","-32,096EGP/m",Greater Cairo  /  The First Area - Lotus North,229m²,3,2,https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/686021238bd2e603770795.jpg,https://aqarmap.com.eg/en/listing/6053145-for-sale-cairo-new-cairo-el-lotus-lotus-north-lmntq-lwl-llwts-lshmly/
محلات للبيع في هيلتون تاور - الميراج,"13,675,440
    EGP","-506,497EGP/m",Greater Cairo  /  Hilton Tower - Al Mirage,27m²,N/A,N/A,https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/686002c093da5513714188.jpeg,https://aqarmap.com.eg/en/listing/6052740-for-sale-cairo-new-administrative-capital-hilton-tower-al-mirage/
Apartments For sale in El Banafsag 12,"16,000,000
    EGP","-26,666EGP/m",Greater Cairo  /  El Banafsag 12,600m²,4,4,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2505/683b076f41b17379175404.jpeg,https://aqarmap.com.eg/en/listing/5977133-for-sale-cairo-new-cairo-el-banafsg-el-banafsag-12/
160 sqm Apartment for Sale in Tiamo Compound – Semi-Finished – Ready to Move,"4,000,000
    EGP","-25,000EGP/m",Greater Cairo  /  Tiamo City,160m²,3,2,https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2505/6836b10b4c951868664531.jpeg,https://aqarmap.com.eg/en/listing/5966071-for-sale-cairo-el-sheikh-zayed-city-compounds-tiamo-city/
apartment for sale 146m bait al watan north house new cairo,"3,942,000
    EGP","-27,000EGP/m",Greater Cairo  /  North House,146m²,3,3,https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2505/6836d265be59a945431427.jpg,https://aqarmap.com.eg/en/listing/5966365-for-sale-cairo-new-cairo-bait-el-watan-shml-byt-lwtn/
-Apartment for sale in the entertainment district in Al Obour City,"3,100,000
    EGP","-21,379EGP/m",Greater Cairo  /  Entertainment District,145m²,3,2,https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/68600f7a6f1f7664834570.jpeg,https://aqarmap.com.eg/en/listing/6052778-for-sale-cairo-al-oubour-lhy-ltrfyhy/
شقق للبيع في كمبوند سنشري سيتي - فانتدج,"8,700,000
    EGP","-59,183EGP/m",Greater Cairo  /  Century City Compound - Vintage,147m²,3,3,https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/68601e62112e9084344253.jpg,https://aqarmap.com.eg/en/listing/6053097-for-sale-cairo-new-cairo-compounds-century-city-compound-vintage-development/
Duplex For sale in Ebad El Rahman City,"6,250,000
    EGP","-26,709EGP/m",Greater Cairo  /  Ebad El Rahman City,234m²,3,2,https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685bc525f2c57079373093.jpeg,https://aqarmap.com.eg/en/listing/6041880-for-sale-cairo-mokattam-el-hadabah-el-wosta-compounds-ebad-el-rahman-city/
24 sqm Shop for Sale in Park Yard 2 Mall – In Front of El Wadi Hospital – Prime,"4,966,132
    EGP","-206,922EGP/m",Greater Cairo  /  El Hosary,24m²,N/A,N/A,https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2505/6834d71a4532b991844119.jpg,https://aqarmap.com.eg/en/listing/5962043-for-sale-cairo-6th-of-october-lhsry/
شقق للبيع في شارع خالد بن الوليد,"9,000,000
    EGP","-30,000EGP/m",Greater Cairo  /  Khaled Ibn El Waleed St.,300m²,4,3,https://img-4.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/686017f906c7b740482249.jpg,https://aqarmap.com.eg/en/listing/6053006-for-sale-cairo-new-cairo-ganob-el-akadamiya-south-academy-d-khaled-ibn-el-waleed-st/
Apartments For sale in Nazih Khalifa St.,"6,500,000
    EGP","-33,854EGP/m",Greater Cairo  /  Nazih Khalifa St.,192m²,3,2,https://img-1.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/6857d5d6ca248209958608.jpeg,https://aqarmap.com.eg/en/listing/6033234-for-sale-cairo-heliopolis-el-korba-nazih-khalifa-st/
شقق للبيع في اللوتس الجنوبيه,"5,018,000
    EGP","-26,000EGP/m",Greater Cairo  /  Lotus South,193m²,3,2,https://img-3.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/68600f2d93a38254027847.jpg,https://aqarmap.com.eg/en/listing/6052799-for-sale-cairo-new-cairo-el-lotus-lotus-south/
Apartments For sale in Akhnaton St.,"8,500,000
    EGP","-35,416EGP/m",Greater Cairo  /  Akhnaton St.,240m²,3,3,https://img-0.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685d4511a8f97754910979.png,https://aqarmap.com.eg/en/listing/6046244-for-sale-cairo-new-cairo-el-ahyaa-fifth-neighborhood-akhnaton-st/
Penthouse For sale in Moon Valley Compound 1 - Arabia,"13,500,000
    EGP","-43,548EGP/m",Greater Cairo  /  Moon Valley Compound 1 - Arabia,310m²,3,3,https://img-2.aqarmap.com.eg/new-aqarmap-media/search-thumb-webp/2506/685a869b516b5693116759.jpeg,https://aqarmap.com.eg/en/listing/6039046-for-sale-cairo-new-cairo-compounds-moon-valley/
